tract,subject,pos,FA
6.0,1.0,74.0,0.38743
6.0,1.0,75.0,0.39456
6.0,1.0,76.0,0.39977
6.0,1.0,77.0,0.4056
6.0,1.0,78.0,0.41285
6.0,1.0,79.0,0.4156
6.0,1.0,80.0,0.41558
6.0,1.0,81.0,0.41784
6.0,1.0,82.0,0.42232
6.0,1.0,83.0,0.42349
6.0,1.0,84.0,0.41866
6.0,1.0,85.0,0.41279
6.0,1.0,86.0,0.41141
6.0,1.0,87.0,0.41338
6.0,1.0,88.0,0.41527
6.0,1.0,89.0,0.41542
6.0,1.0,90.0,0.41152
6.0,1.0,91.0,0.40496
6.0,1.0,92.0,0.39454
6.0,1.0,93.0,0.38196
6.0,1.0,94.0,0.36715
6.0,1.0,95.0,0.35107
6.0,1.0,96.0,0.34408
6.0,1.0,97.0,0.33479
6.0,1.0,98.0,0.30497
6.0,1.0,99.0,0.25484
6.0,1.0,100.0,0.20435
7.0,1.0,1.0,0.20642
7.0,1.0,2.0,0.2392
7.0,1.0,3.0,0.29689
7.0,1.0,4.0,0.35017
7.0,1.0,5.0,0.3967
7.0,1.0,6.0,0.42809
7.0,1.0,7.0,0.44247
7.0,1.0,8.0,0.45324
7.0,1.0,9.0,0.4727
7.0,1.0,10.0,0.49104
7.0,1.0,11.0,0.49988
7.0,1.0,12.0,0.50311
7.0,1.0,13.0,0.4921
7.0,1.0,14.0,0.47069
7.0,1.0,15.0,0.44378
7.0,1.0,16.0,0.42625
7.0,1.0,17.0,0.42504
7.0,1.0,18.0,0.43793
7.0,1.0,19.0,0.44965
7.0,1.0,20.0,0.44909
7.0,1.0,21.0,0.44368
7.0,1.0,22.0,0.44324
7.0,1.0,23.0,0.45416
7.0,1.0,24.0,0.46956
7.0,1.0,25.0,0.48444
7.0,1.0,26.0,0.49145
7.0,1.0,27.0,0.48331
7.0,1.0,28.0,0.47707
7.0,1.0,29.0,0.46908
7.0,1.0,30.0,0.45674
7.0,1.0,31.0,0.45308
7.0,1.0,32.0,0.45937
7.0,1.0,33.0,0.46958
7.0,1.0,34.0,0.48577
7.0,1.0,35.0,0.51099
7.0,1.0,36.0,0.54217
7.0,1.0,37.0,0.57362
7.0,1.0,38.0,0.59747
7.0,1.0,39.0,0.60953
7.0,1.0,40.0,0.60776
7.0,1.0,41.0,0.59968
7.0,1.0,42.0,0.59069
7.0,1.0,43.0,0.57939
7.0,1.0,44.0,0.57486
7.0,1.0,45.0,0.56504
7.0,1.0,46.0,0.56507
7.0,1.0,47.0,0.56182
7.0,1.0,48.0,0.55627
7.0,1.0,49.0,0.54665
7.0,1.0,50.0,0.53475
7.0,1.0,51.0,0.52069
7.0,1.0,52.0,0.50612
7.0,1.0,53.0,0.4929
7.0,1.0,54.0,0.48946
7.0,1.0,55.0,0.47843
7.0,1.0,56.0,0.47585
7.0,1.0,57.0,0.46363
7.0,1.0,58.0,0.46242
7.0,1.0,59.0,0.43944
7.0,1.0,60.0,0.43315
7.0,1.0,61.0,0.42424
7.0,1.0,62.0,0.4236
7.0,1.0,63.0,0.41702
7.0,1.0,64.0,0.41221
7.0,1.0,65.0,0.40886
7.0,1.0,66.0,0.40041
7.0,1.0,67.0,0.39149
7.0,1.0,68.0,0.37839
7.0,1.0,69.0,0.37653
7.0,1.0,70.0,0.38094
7.0,1.0,71.0,0.37883
7.0,1.0,72.0,0.36867
7.0,1.0,73.0,0.36727
7.0,1.0,74.0,0.36313
7.0,1.0,75.0,0.36818
7.0,1.0,76.0,0.36654
7.0,1.0,77.0,0.35904
7.0,1.0,78.0,0.34118
7.0,1.0,79.0,0.33481
7.0,1.0,80.0,0.34332
7.0,1.0,81.0,0.36311
7.0,1.0,82.0,0.39228
7.0,1.0,83.0,0.41549
7.0,1.0,84.0,0.43838
7.0,1.0,85.0,0.4466
7.0,1.0,86.0,0.45947
7.0,1.0,87.0,0.46307
7.0,1.0,88.0,0.45871
7.0,1.0,89.0,0.43781
7.0,1.0,90.0,0.41764
7.0,1.0,91.0,0.37444
7.0,1.0,92.0,0.34706
7.0,1.0,93.0,0.32143
7.0,1.0,94.0,0.3026
